"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1";"Hyundai Ix35";"Ix35 2.0crdi Gls Style Sky Nav 4x4
";"12.900€";"10/2010";"184 cv";"122.000 km";"Diesel";"5 puertas";"441 cm";"167 cm";"182 cm";"1.525 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-gls-style-sky-nav-4x4-en-madrid.htm?id=2914074"
"2";"Audi Q2";"1.4 Tfsi Cod Design Edition S Tronic 150
";"28.900€";"05/2017";"150 cv";"6.284 km";"Gasolina";"5 puertas";"419 cm";"151 cm";"179 cm";"1.280 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-14-tfsi-cod-design-edition-s-tronic-150-en-madrid.htm?id=2912481"
"3";"Hyundai Ix35";"Ix35 2.0crdi Gl Classic 4x2
";"10.300€";"10/2012";"136 cv";"189.000 km";"Diesel";"5 puertas";"441 cm";"167 cm";"182 cm";"1.458 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-gl-classic-4x2-en-madrid.htm?id=2908305"
"4";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.890€";"06/2013";"130 cv";"123.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911130"
"5";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.890€";"06/2013";"130 cv";"123.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911126"
"6";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.990€";"06/2013";"130 cv";"108.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911111"
"7";"Renault Twingo Societé";"1.5 Dci 75
";"3.420€";"03/2012";"75 cv";"90.000 km";"Diesel";"3 puertas";"360 cm";"147 cm";"165 cm";"980 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo+societe-15-dci-75-en-madrid.htm?id=2911106"
"8";"Opel Zafira";"Tourer 2.0cdti Selective 130
";"11.490€";"01/2013";"130 cv";"99.000 km";"Diesel";"5 puertas";"466 cm";"169 cm";"188 cm";"1.658 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-selective-130-en-madrid.htm?id=2911105"
"9";"Seat Ibiza";"1.4tdi Cr S&s Style 105
";"10.000€";"2017";"105 cv";"25.500 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.161 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-14tdi-cr-s_s-style-105-en-madrid.htm?id=2799404"
"10";"Mazda Cx-7";"Cx-7 2.2crtd Active
";"12.500€";"05/2010";"173 cv";"98.000 km";"Diesel";"5 puertas";"468 cm";"165 cm";"187 cm";"1.875 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-7-22crtd-active-en-madrid.htm?id=2909185"
"11";"Opel Insignia";"St 2.0cdti Selective S&s
";"10.500€";"09/2013";"130 cv";"82.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2908888"
"12";"Volkswagen Golf";"1.6tdi Cr Bmt Edition 110
";"15.690€";"02/2016";"110 cv";"9.921 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.299 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-edition-110-en-madrid.htm?id=2907277"
"13";"Renault Scénic";"G. 1.6dci Energy Limited 5pl.
";"9.900€";"2014";"130 cv";"135.000 km";"Diesel";"5 puertas";"457 cm";"165 cm";"185 cm";"1.563 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-g-16dci-energy-limited-5pl-en-madrid.htm?id=2906134"
"14";"Ssangyong Rodius";"D22t Premium
";"18.900€";"2016";"178 cv";"52.098 km";"Diesel";"5 puertas";"513 cm";"182 cm";"192 cm";"1.981 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rodius-d22t-premium-en-madrid.htm?id=2905887"
"15";"Toyota Aygo";"1.0 Vvt-i City
";"5.100€";"09/2013";"68 cv";"59.000 km";"Gasolina";"3 puertas";"343 cm";"147 cm";"162 cm";"800 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-city-en-madrid.htm?id=2904094"
"16";"Seat Ibiza";"1.0 Ecotsi S&s Reference Plus 95
";"10.990€";"2017";"95 cv";"1.600 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-reference-plus-95-en-madrid.htm?id=2870054"
"17";"Seat León";"1.2 Tsi S&s Style 110
";"12.190€";"2017";"110 cv";"9.330 km";"Gasolina";"5 puertas";"428 cm";"146 cm";"182 cm";"1.213 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-12-tsi-s_s-style-110-en-madrid.htm?id=2902290"
"18";"Opel Insignia";"St 2.0cdti Selective S&s
";"10.890€";"05/2013";"130 cv";"87.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911131"
"19";"Fiat Dobló";"Cargo 1.3mjt Base 90 E5+
";"5.066€";"08/2014";"90 cv";"119.000 km";"Diesel";"3 puertas";"439 cm";"185 cm";"183 cm";"1.345 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-90-e5+-en-madrid.htm?id=2911128"
"20";"Alfa Romeo Stelvio";"2.2 Rwd Aut. 150
";"35.950€";"2018";"150 cv";"1 km";"Diesel";"5 puertas";"469 cm";"167 cm";"190 cm";"1.604 kg";"https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-rwd-aut-150-en-madrid.htm?id=2900099"
